Cycle 3:Ni:Survey
	Characteristic Energy eV	1.486610e+003	Acquisition Time s	1.000000e-001
Name		
Position		
FWHM		
Area		
Lineshape		
K.E.	Counts		B.E.	CPS
2.866100e+002	4.699450e+003		1.200000e+003	4.699450e+004
2.876100e+002	4.711840e+003		1.199000e+003	4.711840e+004
2.886100e+002	4.756390e+003		1.198000e+003	4.756390e+004
2.896100e+002	4.739410e+003		1.197000e+003	4.739410e+004
2.906100e+002	4.769210e+003		1.196000e+003	4.769210e+004
2.916100e+002	4.767200e+003		1.195000e+003	4.767200e+004
2.926100e+002	4.785550e+003		1.194000e+003	4.785550e+004
2.936100e+002	4.796730e+003		1.193000e+003	4.796730e+004
2.946100e+002	4.786260e+003		1.192000e+003	4.786260e+004
2.956100e+002	4.821660e+003		1.191000e+003	4.821660e+004
2.966100e+002	4.842970e+003		1.190000e+003	4.842970e+004
2.976100e+002	4.857940e+003		1.189000e+003	4.857940e+004
2.986100e+002	4.854650e+003		1.188000e+003	4.854650e+004
2.996100e+002	4.866860e+003		1.187000e+003	4.866860e+004
3.006100e+002	4.882580e+003		1.186000e+003	4.882580e+004
3.016100e+002	4.884610e+003		1.185000e+003	4.884610e+004
3.026100e+002	4.869180e+003		1.184000e+003	4.869180e+004
3.036100e+002	4.902970e+003		1.183000e+003	4.902970e+004
3.046100e+002	4.901280e+003		1.182000e+003	4.901280e+004
3.056100e+002	4.952190e+003		1.181000e+003	4.952190e+004
3.066100e+002	5.004700e+003		1.180000e+003	5.004700e+004
3.076100e+002	4.978680e+003		1.179000e+003	4.978680e+004
3.086100e+002	4.982680e+003		1.178000e+003	4.982680e+004
3.096100e+002	4.980080e+003		1.177000e+003	4.980080e+004
3.106100e+002	4.977320e+003		1.176000e+003	4.977320e+004
3.116100e+002	5.023290e+003		1.175000e+003	5.023290e+004
3.126100e+002	4.997950e+003		1.174000e+003	4.997950e+004
3.136100e+002	5.031010e+003		1.173000e+003	5.031010e+004
3.146100e+002	5.042900e+003		1.172000e+003	5.042900e+004
3.156100e+002	5.081650e+003		1.171000e+003	5.081650e+004
